z [m],qc [MPa],fs [MPa],u2 [MPa],ID,Location ID,Blowcount [Blows/m],Normalised ENTRHU [-],Normalised hammer energy [-],Number of blows,Diameter [m],Bottom wall thickness [mm],Pile penetration [m],area ratio [-],Push,Total unit weight [kN/m3],Layer no,Vertical total stress [kPa],Water pressure [kPa],Vertical effective stress [kPa],qt [MPa],Delta u2 [MPa],Rf [%],Bq [-],Qt [-],Fr [%],qnet [MPa],Ic [-]
0.0,0.0,0.0,0.0,,,,,,,,,,,,19.0,1.0,0.0,0.0,0.0,,0.0,,,,,,
0.5,5.1504,0.0312,0.0064,EK__0_5,EK,,,,,2.48,50.0,31.0,0.75,1.0,19.0,1.0,9.5,5.125,4.375,5.152,0.001275,0.6055900621118011,0.00024793388429752067,1175.4285714285713,0.6067087992221681,5.1425,1.5365762441783009
1.0,11.681,0.0827,0.0154,EK__1_0,EK,,,,,2.48,50.0,31.0,0.75,1.0,19.0,1.0,19.0,10.25,8.75,11.684849999999999,0.00515,0.707754057604505,0.0004414594735917229,1333.2399999999998,0.7089067663307861,11.665849999999999,1.44721341302298
1.5,11.1076,0.1013,0.0191,EK__1_5,EK,,,,,2.48,50.0,31.0,0.75,1.0,19.0,1.0,28.5,15.375,13.125,11.112375,0.003724999999999999,0.9115963059202017,0.000336073800904467,844.4857142857144,0.91394029615094,11.083875,1.5644592267371957
2.0,10.4497,0.127,0.0302,EK__2_0,EK,,,,,2.48,50.0,31.0,0.75,1.0,19.0,1.0,38.0,20.5,17.5,10.45725,0.0097,1.2144684309928517,0.0009309691196583247,595.3857142857142,1.2188977133670849,10.41925,1.6894890754965728
2.5,10.5857619047619,0.1135880952380952,-0.1162416666666667,EK__2_5,EK,,,,,2.48,50.0,31.0,0.75,1.0,19.0,1.0,47.5,25.625,21.875,10.556701488095234,-0.1418666666666667,1.075980933686419,-0.01349928125627551,480.4206394557821,1.0808442046407347,10.509201488095234,1.6797063453727277
3.0,19.40980952380953,0.1882904761904762,-0.02478333333333332,EK__3_0,EK,,,,,2.48,50.0,31.0,0.75,1.0,19.0,1.0,57.0,30.75,26.25,19.403613690476195,-0.05553333333333332,0.9703887079698672,-0.002870442043336548,737.0138548752838,0.973247717677675,19.346613690476197,1.5222653707821645
3.5,29.7187,0.2842,0.03915,EK__3_5,EK,,,,,2.48,50.0,31.0,0.75,1.0,19.0,1.0,66.5,35.875,30.625,29.7284875,0.003274999999999993,0.9559853995262961,0.00011041067291933803,968.554693877551,0.9581286486618606,29.6619875,1.4356452965002362
4.0,30.7355,0.2936,0.04665,EK__4_0,EK,4.0,0.108125,0.1441666666666667,5.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,76.0,41.0,35.0,30.747162499999998,0.005649999999999995,0.9548848613266347,0.000184212124336663,876.3189285714284,0.9572509682344126,30.671162499999998,1.4395455014937695
4.5,30.56,0.2997,0.05415,EK__4_5,EK,6.0,0.1114041666666667,0.1485416666666667,9.5,2.48,50.0,31.0,0.75,1.0,19.0,1.0,85.5,46.125,39.375,30.5735375,0.008024999999999997,0.9802594809318353,0.00026321799164672366,774.2993650793651,0.9830084996451478,30.4880375,1.4601278402860491
5.0,28.8433,0.2636,0.05385,EK__5_0,EK,8.0,0.1146833333333333,0.1529166666666667,14.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,95.0,51.25,43.75,28.8567625,0.002599999999999998,0.9134773867997147,9.039779811824808e-05,657.4117142857142,0.9164945993834697,28.7617625,1.4603467250171676
5.5,28.2243,0.2689,0.06035,EK__5_5,EK,18.0,0.1149666666666667,0.1532916666666667,24.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,104.5,56.375,48.125,28.2393875,0.003974999999999999,0.952216120126543,0.00014128366427624777,584.621038961039,0.9557528886511453,28.134887499999998,1.4887175034946096
